,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
3821,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-06,5.25,TO,Q339,47245,Cooloola Cove STP,2020-06,4007.6335877862593,41458,qld
3860,10267,Logan City Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-06,24.124,TO,Q339,65749,Logan Council - Cedar Grove STP,2020-05,18415.267175572517,10267,qld
3873,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-06,25.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2020-06,19083.969465648854,41458,qld
3879,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-06,23.5,TO,Q339,38370,Chinchilla Shire WTP,2020-06,17938.93129770992,41368,qld
3941,10464,Stanwell Power Station,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-05,20.0,TO,Q339,10466,Stanwell Power Station,2020-04,15267.175572519083,10464,qld
3943,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-05,23.5,TO,Q339,38370,Chinchilla Shire WTP,2020-05,17938.93129770992,41368,qld
4085,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-04,23.5,TO,Q339,38370,Chinchilla Shire WTP,2020-04,17938.93129770992,41368,qld
4103,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-04,1.5,TO,Q339,10422,GYMPIE WTP Jones Hill,2020-04,1145.0381679389313,41458,qld
4109,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-04,25.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2020-04,19083.969465648854,41458,qld
4123,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-04,11.0,TO,Q339,47251,Rainbow Beach,2020-04,8396.946564885497,41458,qld
4124,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-04,7.1,TO,Q339,47252,Tin Can Bay,2020-04,5419.847328244275,41458,qld
4125,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-04,6.9,TO,Q339,47245,Cooloola Cove STP,2020-04,5267.175572519084,41458,qld
4292,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-03,23.5,TO,Q339,38370,Chinchilla Shire WTP,2020-03,17938.93129770992,41368,qld
4365,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-03,25.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2020-02,19083.969465648854,41458,qld
4405,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-02,23.5,TO,Q339,38370,Chinchilla Shire WTP,2020-02,17938.93129770992,41368,qld
4421,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-02,23.5,TO,Q339,38370,Chinchilla Shire WTP,2020-02,17938.93129770992,41368,qld
4469,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-02,10.0,TO,Q339,47251,Rainbow Beach,2020-02,7633.587786259542,41458,qld
4470,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-02,10.0,TO,Q339,47252,Tin Can Bay,2020-02,7633.587786259542,41458,qld
4471,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-02,5.0,TO,Q339,47245,Cooloola Cove STP,2020-02,3816.793893129771,41458,qld
4576,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-01,25.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2020-01,19083.969465648854,41458,qld
4590,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-01,23.5,TO,Q339,38370,Chinchilla Shire WTP,2020-01,17938.93129770992,41368,qld
4621,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-01,25.0,TO,Q339,22239,Gympie STP,2020-01,19083.969465648854,41458,qld
4826,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-01,23.5,TO,Q339,38370,Chinchilla Shire WTP,2019-12,17938.93129770992,41368,qld
4828,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-01,3.5,TO,Q339,22239,Gympie STP,2019-12,2671.7557251908397,41458,qld
4886,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-12,9.0,TO,Q339,22239,Gympie STP,2019-12,6870.229007633588,41458,qld
4900,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-12,8.71,TO,Q339,47252,Tin Can Bay,2019-12,6648.854961832061,41458,qld
4901,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-12,10.83,TO,Q339,47251,Rainbow Beach,2019-12,8267.175572519083,41458,qld
4902,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-12,5.46,TO,Q339,47245,Cooloola Cove STP,2019-12,4167.93893129771,41458,qld
4911,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-12,20.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2019-12,15267.175572519083,41458,qld
4933,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-12,23.5,TO,Q339,38370,Chinchilla Shire WTP,2019-12,17938.93129770992,41368,qld
5071,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-12,25.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2019-12,19083.969465648854,41458,qld
5109,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-12,23.5,TO,Q339,38370,Chinchilla Shire WTP,2019-11,17938.93129770992,41368,qld
5197,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-11,25.0,TO,Q339,22239,Gympie STP,2019-11,19083.969465648854,41458,qld
5230,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-11,12.0,TO,Q339,41382,Dalby Town Council - WTP,2019-11,9160.30534351145,41368,qld
5254,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-11,25.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2019-11,19083.969465648854,41458,qld
5300,41368,Western Downs Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-11,23.0,TO,Q339,38370,Chinchilla Shire WTP,2019-10,17557.251908396946,41368,qld
5301,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-11,11.0,TO,Q339,47251,Rainbow Beach,2019-10,8396.946564885497,41458,qld
5302,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-11,9.0,TO,Q339,47252,Tin Can Bay,2019-10,6870.229007633588,41458,qld
5303,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-11,5.0,TO,Q339,47245,Cooloola Cove STP,2019-10,3816.793893129771,41458,qld
5662,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-09,25.0,TO,Q339,10422,GYMPIE WTP Jones Hill,2019-09,19083.969465648854,41458,qld
5665,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-09,11.7,TO,Q339,47251,Rainbow Beach,2019-09,8931.297709923663,41458,qld
5666,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-09,7.8,TO,Q339,47252,Tin Can Bay,2019-09,5954.198473282442,41458,qld
5667,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-09,5.46,TO,Q339,47245,Cooloola Cove STP,2019-09,4167.93893129771,41458,qld
5973,41458,Gympie Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-07,9.0,TO,Q339,47251,Rainbow Beach,2019-07,6870.229007633588,41458,qld
