SH_Customer No,SH_Customer City,SH_Customer Post Code
0000037345,New South Wales  AUSTRALIA,2001
0000037395,DARWIN,0821
0000037552,CASTLEMAINE,3450
0000037768,Sydney NEW SOUTH WALES,""
0000037769,Sydney  NEW SOUTH WALES,2001
0000037813,BALLARAT,3350
0000037831,TWEEN HEADS SOUTH.   NSW,2486
0000037842,Woodcroft New South Wales,""
0000037878,Dandenong,3175
0000037911,Victoria   AUSTRALIA  3171,3171
0000037998,MURARRIE.   QLD,4172
0000038184,BREAKWATER,3219
0000038243,Melbourne Victoria 3001 AUSTRALIA,3001
0000038262,Dry Creek,5094
0000038270,MORTLAKE,3272
0000038934,.,9999
0000038935,"",""
0000038936,.,3000
0000039433,BALLARAT,3350
0000039439,SMITHFIELD,2440
0000039458,"Chipping Norton, NSW 2170",2170
0000039541,South Melbourne AUSTRALIA,3001
0000039648,"",""
0000039982,BOGONG,3699
0000040027,"Brisbane, Queensland",4178
0000040037,Dry Creek,5094
0000040039,"Queensland, Australia",4106
0000040043,MOORABBIN,3189
0000040094,PORT ADELAIDE,8015
0000040183,LAVERTON NORTH,3026
0000040200,Coopers Plains,4108
0000040216,MT ISA.   QLD,4825
0000040351,BERRIMAH,0828
0000040453,LAVERTON NORTH,3026
0000040608,Eaglefarm,4009
0000040611,Derrimut,3030
0000040621,WETHERILL PARK,2164
0000040637,.,""
0000040661,Knoxfield,3180
0000040742,FAIRFIELD,2165
0000040852,MELBOURNE,3000
0000040853,MELBOURNE,3000
0000040854,MELBOURNE,3000
0000041521,Nottinghill Melbourne,3168
0000041522,Nottinghill Melbourne,3168
0000041756,Western Australia,6160
0000041885,NEWTOWN,""
0000041986,Muarrie,4172
0000042273,PINE CREEK.   NT,0847
0000046037,SYDNEY,2565
0000046563,"Heidelberg Heights, Victoria",3081
0000046699,MELBOURNE  AUSTRALIA,3004
0000046941,DANDENONG  VICTORIA  AUSTRALIA,3175
0000047058,"",""
0000047259,AUSTRALIA,3004
0000048359,"",""
0000048360,"",""
0000048390,Laverton North Victoria,3026
0000048449,NORTH ROCKHAMPTON,4701
0000048568,CLONTARF,4019
0000048840,Welshpool,6106
0000048841,VILLAWOOD,2163
0000048842,LAVERTON NORTH,3026
0000049036,Melbourne Vic,3174
0000049403,"Sydney, NSW",2000
0000049524,CONARA,7211
0000049525,EPPING FOREST,7211
0000049842,"Hallam, Victoria",3803
0000049873,Freemantle Australia,""
0000049910,COBRAM,3644
0000049978,PERTH AIRPORT,6105
0000050461,MOORABBIN,3189
0000050481,BENDIGO EAST,3539
0000050633,STUART TOWNSVILLLE,4814
0000050641,"Nowra, NSW",2541
0000050683,"Perth, Western Australia",6000
0000050993,"",""
0000050996,"",""
0000051004,DEER PARK,3023
0000051182,"Smithfield, Sydney, NSW, AUSTRALA",2164
0000051183,"Welshpool, Perth, WA, AUSTRALIA",6106
0000051268,Lytton,4178
0000051364,St Peters,2044
0000051423,"CASTLE HILL, NEW SOUTH WALES",2154
0000051492,Banksmeadow,2019
0000051542,Erskine Park,2759
0000051677,Port Kembla,2505
0000051697,OAKLEIGH,3166
0000051726,"",""
0000051760,"Rowville,MELBOURNE, VIC",3178
0000052048,Bellingen,2454
0000052049,Urunga,2455
0000052050,Dorrgio,2453
0000052051,Nambucca Heads,2448
0000052067,BURTON,5110
0000052178,Bajool,4699
0000052191,MATRAVILLE,2036
0000052233,Lytton,4178
0000052247,Coopers Plains,4108
0000052291,SUMNER PARK,4074
0000052296,Derrimut,3030
0000052416,Gateshead NSW,2290
0000052440,ST MARYS,2760
0000052488,Seven Hills,2147
0000052514,EPPING,3076
0000052525,Earlwood,2206
0000052591,THOMASTOWN,3074
0000052752,MALANDA  QLD,4885
0000052864,"South Perth, WA",6151
0000052940,BERESFIELD,2322
0000052941,Lambton,2299
0000052942,MAYFIELD,2304
0000052943,Stockton,2295
0000052944,WALLSEND,2287
0000052947,BRISBANE,4000
0000053050,NSW,2770
0000053051,CHATSWOOD,2067
0000053063,MELBOURNE,3000
0000053176,PARKVILLE,3052
0000053233,WETHERILL PARK,2164
0000053329,CONDELL PARK,2200
0000053673,CAMDEN,2570
0000053675,REDFERN,2016
0000053678,Russell Island,4184
0000053679,Victoria Point,4165
0000053717,"Victoria, AUSTRALIA",3025
0000053960,"NSW, AUSTRALIA",2148
0000054128,NORTH LAVERTON,3026
0000054486,"Alderley, Queensland",4051
0000054602,Burleigh Heads,4220
0000054609,PENRITH,2750
0000054658,SMITHFIELD,2164
0000054736,BRISBANE,4000
0000055090,"Queensland, Australia",4106
0000055304,"Minto, New South Wales",2566
0000055415,ROCKLEA,4106
0000055502,Glendenning NSW,2761
0000055633,Lane Cove,2066
0000055753,"Wangarra, PERTH",6065
0000055838,SILVAN,3795
0000056021,MT DRUITT,2770
0000056023,"Tullamarine, VICTORIA",3013
0000056221,MARRICKVILLE,""
0000056315,GLADSTONE,4680
0000056330,"Sydney, NSW, AUSTRALIA",2000
0000056335,WETHERILL PARK,2164
0000056341,BROOKLYN,3012
0000056374,ALTONA,3018
0000056398,Bella Vista,2153
0000056510,MELBOURNE,6000
0000056585,REGENTS PARK,2143
0000056590,Goornong,3557
0000056601,O'CONNOR,6163
0000056603,AXEDALE,3551
0000056604,BRIDGEWATER,3516
0000056605,BOORT,3537
0000056762,Hemmant,4174
0000056799,Callaghan,2308
0000056818,RICHMOND,3121
0000057012,ARNDELL PARK,2148
0000057151,COLLINGWOOD,3066
0000057348,LAVERTON NORTH - VICTORIA,3026
0000057752,Currumbin Valley,4220
0000058356,HARVEY BAY,4655
0000058646,MELBOURNE,3000
0000058717,"Laverton North, VIC",3026
0000058800,TASMANIA,7170
0000059433,Corndale,2480
0000059671,LAKE MACDONALD,4563
0000059806,WEST FOOTSCRAY,3012
0000059930,"Laverton North, Victoria, Melbourne",3026
0000060057,Griffith,2680
0000060058,Griffith,2680
0000060193,East Melbourne,3000
0000060308,BUNDABERG,4670
0000060530,"Port Adelaide, SA, Australia",5015
0000060953,"Sydney, Australia",2163
0000061628,PRESTONS,2170
0000061663,MOOREBANK,2170
0000061677,"Rosny Park, Tasmania",7018
0000061848,Crn Argyle & George Street The Rock,2000
0000061927,BROMPTON,5007
0000062053,DEVONPORT,7310
0000062301,SEFTON,2162
0000062680,BERRY,2535
0000062801,KINCUMBER,2251
0000062835,PORT BOTANY,2019
0000062934,MOOLAP,3221
0000063132,BELL BAY,7253
0000063173,Wodonga,3690
0000063408,"GARBUTT, TOWNSVILLE",4810
0000063895,South Lismore,2480
0000064088,Derrimut,3030
0000064629,MOONAH,7009
0000064725,Naval Base,6165
0000064808,Altona North,3025
0000064881,NEWMAN,6753
0000065087,GLENDENNING,2761
0000065099,Rosehill,2142
0000065137,CORIO,3214
0000065282,Pemulwuy,2145
0000065293,"Perth, Western Australia",6164
0000065315,"Rowville, Vistoria, Australia",3178
0000065373,WARWICK,4370
0000065464,"Ballarat, Victoria, Australia",3350
0000097622,"",""
0000097633,"",""
0000097634,"",""
0000097635,"",""
0000097636,"",""
0000097637,"",""
0000097638,"",""
0000097639,"",""
0000097640,"",""
0000097653,"",""
A000,"",""
ABM,"",""
ABPAK,"",""
ABSAN,"",""
ACI,"",""
ACLCOMCORK,"",""
ADDIS,"",""
ADVANCEWC,"",""
AEP,"",""
AF BAMBAC,"",""
AGC,"",""
AGL,"",""
AGRPLASTIC,"",""
AKOHN,"",""
AKZO,"",""
ALCOA,"",""
ALFINISHIN,"",""
ALICE,"",""
ALLIED,"",""
ALPHA,"",""
ALVEY,"",""
AMADON,"",""
AMCOR,"",""
AMITY,"",""
AMOCO,"",""
ANGLOGOLD,"",""
APEC,-,""
APEX,"",""
APM,"",""
APN,"",""
APSCOLOUR,Seven Hills,""
ARLCO,"",""
ARMSTRONG,"",""
ARNOTTS,"",""
ARTARMON,"",""
ARTLOU,"",""
ASTRON,CHELTENHAM,3192
ATLAS,"",""
AURELIA,"",""
AURORA,"",""
AUS_LUBS,"",""
AUSMALT,"",""
AUSPLAS,"",""
AUSPLASPRO,CARINGBAH,2229
AUSPLAY,"",""
AUSSCORE,"",""
AUSSTRAW,"",""
AUST CONT,"",""
AUST PETR,"",""
AUSTASIA,"",""
AUSTCHALL,"",""
AUSTPLAS,"",""
AUSTRAFILM,"",""
AUSTRALIAN,"",""
AUSTSYNTH,"",""
AUTO MAT,PORT MELBOURNE,3207
AUTOMOLD,"",""
AWAREGROUP,"",""
AXON,"",""
AYMEAST,"",""
BAG & JUTE,"",""
BALPAC,"",""
BARFELL,"",""
BARON,"",""
BARON RUB,"",""
