,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,state of Sold-To Party
149105,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-10,2000.0,L,N106,5795,Australian Institute of Sport,act
149106,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-10,4000.0,L,N106,5795,Australian Institute of Sport,act
149108,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-10,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
149369,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-03,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
149370,48816,Kings Macgregor (Operations) Pty Lt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-03,1000.0,L,N106,48816,Kings Macgregor (Operations) Pty Lt,act
149371,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-03,900.0,L,N106,6086,Big Splash,act
149375,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12-03,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
149644,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-11-26,2700.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
149647,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-11-26,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
149904,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-11-19,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
149905,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-11-19,800.0,L,N106,6086,Big Splash,act
150161,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-11-12,3000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
150163,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-11-12,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
150435,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-11-05,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
150436,48816,Kings Macgregor (Operations) Pty Lt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-11-05,1000.0,L,N106,48816,Kings Macgregor (Operations) Pty Lt,act
150644,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10-29,2500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
150645,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10-29,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
150646,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10-29,1000.0,L,N106,6086,Big Splash,act
150647,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10-29,4300.0,L,N106,5795,Australian Institute of Sport,act
151133,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10-15,4000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
151355,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10-08,2500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
151356,48816,Kings Macgregor (Operations) Pty Lt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10-08,1000.0,L,N106,48816,Kings Macgregor (Operations) Pty Lt,act
151793,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-09-24,700.0,L,N106,6086,Big Splash,act
151799,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-09-24,4000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
152190,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-09-10,2500.0,L,N106,5795,Australian Institute of Sport,act
152191,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-09-10,4800.0,L,N106,5795,Australian Institute of Sport,act
152193,48816,Kings Macgregor (Operations) Pty Lt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-09-10,1000.0,L,N106,48816,Kings Macgregor (Operations) Pty Lt,act
152554,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-08-27,4000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
152555,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-08-27,850.0,L,N106,6086,Big Splash,act
152919,48816,Kings Macgregor (Operations) Pty Lt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-08-13,850.0,L,N106,48816,Kings Macgregor (Operations) Pty Lt,act
153276,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-07-30,2000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
153615,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-07-16,2000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
153616,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-07-16,1000.0,L,N106,5795,Australian Institute of Sport,act
153617,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-07-16,4000.0,L,N106,5795,Australian Institute of Sport,act
153971,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-07-02,3000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
153972,48816,Kings Macgregor (Operations) Pty Lt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-07-02,1200.0,L,N106,48816,Kings Macgregor (Operations) Pty Lt,act
154519,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-06-11,3000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
154522,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-06-11,600.0,L,N106,6086,Big Splash,act
154816,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-05-31,1208.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
154829,48816,Kings Macgregor (Operations) Pty Lt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-05-31,959.0,L,N106,48816,Kings Macgregor (Operations) Pty Lt,act
154844,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-05-31,4000.0,L,N106,5795,Australian Institute of Sport,act
154845,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-05-31,2509.0,L,N106,5795,Australian Institute of Sport,act
155283,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-05-14,2500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
155715,48816,Kings Macgregor (Operations) Pty Lt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-04-30,1200.0,L,N106,48816,Kings Macgregor (Operations) Pty Lt,act
155716,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-04-30,3000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
155717,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-04-30,1000.0,L,N106,6086,Big Splash,act
156138,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-04-16,4000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
156139,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-04-16,4500.0,L,N106,5795,Australian Institute of Sport,act
156861,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-03-26,3000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
157418,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-03-12,3000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
157419,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-03-12,600.0,L,N106,6086,Big Splash,act
157680,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-03-05,1000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
157681,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-03-05,1000.0,L,N106,6086,Big Splash,act
157683,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-03-05,3500.0,L,N106,5795,Australian Institute of Sport,act
157684,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-03-05,3500.0,L,N106,5795,Australian Institute of Sport,act
157685,48816,Kings Macgregor (Operations) Pty Lt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-03-05,1000.0,L,N106,48816,Kings Macgregor (Operations) Pty Lt,act
158009,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02-27,1500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
158010,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02-27,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
158017,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02-27,1000.0,L,N106,6086,Big Splash,act
158295,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02-20,2800.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
158297,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02-20,1300.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
158299,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02-20,1000.0,L,N106,6086,Big Splash,act
158576,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02-13,1000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
158577,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02-13,1000.0,L,N106,6086,Big Splash,act
158578,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02-13,4000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
158873,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02-06,1000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
158875,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02-06,1000.0,L,N106,6086,Big Splash,act
158876,48816,Kings Macgregor (Operations) Pty Lt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02-06,1100.0,L,N106,48816,Kings Macgregor (Operations) Pty Lt,act
159180,53723,The Club Group Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-01-30,1000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
159181,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-01-30,1500.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
159185,6086,Big Splash,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-01-30,1000.0,L,N106,6086,Big Splash,act
