,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,state of Sold-To Party
456,9373,Adchem (Australia) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-06-16,1.0,IBC,V305,9374,Springbetts  C\ Adchem,sa
571,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-09-22,1.31,TO,V305,56806,Normanville WWTP,sa
584,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-08-13,2.0,BOX,S303,55489,Wirrina Corporation P/L,sa
585,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-08-13,2.0,BOX,S303,56806,Normanville WWTP,sa
586,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-08-12,0.0,BOX,S303,55489,Wirrina Corporation P/L,sa
587,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-08-12,0.0,BOX,S303,56806,Normanville WWTP,sa
617,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-06-26,1.0,IBC,S303,56806,Normanville WWTP,sa
622,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-06-19,1.0,IBC,S303,56806,Normanville WWTP,sa
623,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-06-19,1.0,BOX,S303,55489,Wirrina Corporation P/L,sa
657,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-04-24,2.0,BOX,V305,55489,Wirrina Corporation P/L,sa
697,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-02-06,2.0,BOX,V305,55489,Wirrina Corporation P/L,sa
708,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-01-28,1.0,BOX,V305,55489,Wirrina Corporation P/L,sa
782,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-10-31,2.0,BOX,V305,55489,Wirrina Corporation P/L,sa
827,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-08-01,2.0,BOX,V305,55489,Wirrina Corporation P/L,sa
903,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-04-14,2.0,BOX,V305,55489,Wirrina Corporation P/L,sa
925,54005,Agri Business Supplies Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-03-14,1.0,BOX,V305,54051,Pickering Transport,sa
955,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-02-14,2.0,BOX,V305,55489,Wirrina Corporation P/L,sa
983,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-01-17,2.0,BOX,V305,55489,Wirrina Corporation P/L,sa
994,54005,Agri Business Supplies Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-01-08,1.0,BOX,V305,54051,Pickering Transport,sa
1005,54005,Agri Business Supplies Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-12-24,1.0,BOX,V305,54051,Pickering Transport,sa
1006,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-12-23,1.0,BOX,V305,55489,Wirrina Corporation P/L,sa
1009,29679,Chesser Chemicals Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-12-18,0.0,L,S106,29679,Chesser Chemicals Pty Ltd,sa
1032,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-11-15,2.0,BOX,V305,55489,Wirrina Corporation P/L,sa
1047,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-11-01,1.0,BOX,V305,55489,Wirrina Corporation P/L,sa
1055,54005,Agri Business Supplies Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-10-23,1.0,BOX,V305,54051,Pickering Transport,sa
1081,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-09-24,1.0,BOX,V305,55489,Wirrina Corporation P/L,sa
1119,41375,Terramin Australia Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-08-08,1.0,BOX,V305,54871,Angas Zinc Mine - Terramin Aust,sa
1123,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-08-02,1.0,BOX,V305,55489,Wirrina Corporation P/L,sa
1127,54005,Agri Business Supplies Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-07-24,1.0,BOX,V305,54051,Pickering Transport,sa
1140,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-06-21,1.0,BOX,V305,55489,Wirrina Corporation P/L,sa
1141,41375,Terramin Australia Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-06-18,1.0,BOX,V305,54871,Angas Zinc Mine - Terramin Aust,sa
1145,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-05-30,1.0,BOX,V305,38774,Beaufort WTP,sa
